date,min,max,pm25,q1,q3,stdev,count
2020-02-26T00:00:00.000Z,0.1,1.4,0.8,0.5,0.95,0.282,415
2020-02-27T00:00:00.000Z,0.51,7.8,1.46,1.15,2.17,1.034,560
2020-02-28T00:00:00.000Z,0.55,9.06,2.19,1.18,2.9,1.479,560
2020-02-29T00:00:00.000Z,0.2,5.51,3.05,1.32,4.09,1.451,575
2020-03-01T00:00:00.000Z,0.77,5.28,1.59,1.32,1.86,0.491,577
2020-03-02T00:00:00.000Z,0.9,5.2,1.56,1.38,2,0.831,500
2020-03-03T00:00:00.000Z,2.12,8.49,6.09,4.26,6.8,1.475,427
2020-03-04T00:00:00.000Z,0.98,8.57,3.09,1.82,4.42,1.845,586
2020-03-05T00:00:00.000Z,0.65,15.79,3.47,1.98,5.98,2.967,583
2020-03-06T00:00:00.000Z,5.24,17.96,9.4,7.21,14.77,3.784,588
2020-03-07T00:00:00.000Z,1.85,13.16,5.27,3.38,6.35,2.396,586
2020-03-08T00:00:00.000Z,3.7,15.94,5.98,5.05,8.53,2.973,587
2020-03-09T00:00:00.000Z,0.84,10.56,6.17,4.08,8.65,2.717,580
2020-03-10T00:00:00.000Z,0.78,12.54,4.3,2.58,7.27,3.014,585
2020-03-11T00:00:00.000Z,1.34,3.91,2.17,1.91,2.59,0.485,581
2020-03-12T00:00:00.000Z,0.77,7.41,2.19,1.55,2.79,1.342,522
2020-03-13T00:00:00.000Z,0.45,3.64,1.32,1.05,2.36,0.787,546
2020-03-14T00:00:00.000Z,0.34,2.2,1.05,0.72,1.2,0.303,543
2020-03-15T00:00:00.000Z,2.1,5.12,2.94,2.76,3.16,0.39,292
2020-03-16T00:00:00.000Z,0.68,3.66,2.12,1.53,2.66,0.666,584
2020-03-17T00:00:00.000Z,1.06,8.19,2.62,1.85,4.99,2.033,578
2020-03-18T00:00:00.000Z,0.82,8.27,4.13,1.94,5.42,1.959,519
2020-03-19T00:00:00.000Z,0.57,4.3,1.76,1.31,2.12,0.571,561
2020-03-20T00:00:00.000Z,0.3,3.96,1.23,1,2.18,0.788,486
2020-03-21T00:00:00.000Z,0.24,2,1.12,0.56,1.36,0.412,496
2020-03-22T00:00:00.000Z,0.45,10.06,1.4,1.09,1.68,0.731,490
2020-03-23T00:00:00.000Z,0.65,4.5,1.78,1.3,2,0.535,469
2020-03-24T00:00:00.000Z,1.75,7.5,2.64,2.36,3.04,0.962,489
2020-03-25T00:00:00.000Z,2.59,10.14,5.66,4.08,7.02,1.821,450
2020-03-26T00:00:00.000Z,2.38,12.34,5.73,3.33,7.92,2.577,464
2020-03-27T00:00:00.000Z,2.6,14.4,7.37,4.72,10.58,3.237,398
2020-03-28T00:00:00.000Z,1,19.97,8.09,5.18,12.05,4.506,194
2020-03-29T00:00:00.000Z,0.3,1.72,1.03,0.68,1.25,0.342,377
2020-03-30T00:00:00.000Z,0.5,2,1.09,0.91,1.37,0.308,140
2020-03-31T00:00:00.000Z,0.45,2.65,1.46,1.04,1.69,0.436,343
2020-04-01T00:00:00.000Z,0.5,3.72,1.98,1.62,2.5,0.586,222
2020-04-02T00:00:00.000Z,1.05,3.88,2.21,1.88,2.7,0.565,482
2020-04-03T00:00:00.000Z,0.68,3.6,1.76,1.38,2.49,0.68,495
