date,min,max,pm25,q1,q3,stdev,count
2020-02-21T00:00:00.000Z,0.5,4.9,3,2.35,3.82,0.954,419
2020-02-22T00:00:00.000Z,0.5,5.67,1.88,1.26,3.78,1.442,432
2020-02-23T00:00:00.000Z,1.34,6.45,3.58,2.57,4.5,1.239,446
2020-02-24T00:00:00.000Z,1.1,3.22,2.06,1.81,2.29,0.396,529
2020-02-25T00:00:00.000Z,0.34,2.85,1.42,1.06,1.95,0.56,466
2020-02-26T00:00:00.000Z,0.1,0.9,0.5,0.4,0.6,0.174,396
2020-02-27T00:00:00.000Z,0.28,6.42,1.15,0.6,1.78,1.181,556
2020-02-28T00:00:00.000Z,0.3,9.65,3.3,1.15,5.09,2.515,563
2020-02-29T00:00:00.000Z,0.7,16.64,6.18,3.12,7.97,3.579,578
2020-03-01T00:00:00.000Z,0.65,2.87,1.96,1.6,2.25,0.449,577
2020-03-02T00:00:00.000Z,1.26,9.27,2.7,2.34,3.14,1.4,473
2020-03-03T00:00:00.000Z,1.63,12.82,6.67,4.51,9.18,2.767,426
2020-03-04T00:00:00.000Z,1.32,14.71,3.01,2.17,3.9,2.058,590
2020-03-05T00:00:00.000Z,0.65,20.43,5.33,1.66,8.65,5.377,586
2020-03-06T00:00:00.000Z,6.02,31.13,16.3,12.14,26.07,7.049,592
2020-03-07T00:00:00.000Z,5.08,34.6,12.22,8.66,15.17,7.265,593
2020-03-08T00:00:00.000Z,4.26,28.9,11.16,9.44,15.17,5.191,593
2020-03-09T00:00:00.000Z,2.22,26.82,13.53,6.82,20.55,7.37,587
2020-03-10T00:00:00.000Z,1.04,25.9,6.58,3.48,14.4,6.614,585
2020-03-11T00:00:00.000Z,1.9,5.7,3.12,2.57,3.75,0.848,576
2020-03-12T00:00:00.000Z,1,11.86,2.8,1.82,3.51,2.239,504
2020-03-13T00:00:00.000Z,0.3,4.87,1.82,0.8,3.48,1.349,512
2020-03-14T00:00:00.000Z,0.15,1.7,0.45,0.35,0.56,0.197,539
2020-03-15T00:00:00.000Z,3.98,6.96,5.38,4.86,6,0.677,291
2020-03-16T00:00:00.000Z,1.25,11.66,3.1,2.04,3.96,1.299,584
2020-03-17T00:00:00.000Z,1.04,11.12,4.34,2.37,5.34,2.458,585
2020-03-18T00:00:00.000Z,1.7,17.55,5.59,2.92,6.94,3.306,507
2020-03-19T00:00:00.000Z,1.54,4.09,2.68,2.16,3,0.537,562
2020-03-20T00:00:00.000Z,0.3,4.55,0.75,0.57,2.66,1.22,477
2020-03-21T00:00:00.000Z,0.16,19.07,0.57,0.45,0.74,1.353,488
2020-03-22T00:00:00.000Z,0.4,13.42,0.84,0.66,1.21,1.062,459
2020-03-23T00:00:00.000Z,0.5,3.06,1.5,1.23,1.8,0.535,442
2020-03-24T00:00:00.000Z,2.54,10.33,3.37,3,5.05,1.761,441
2020-03-25T00:00:00.000Z,5.09,14.1,7.65,6.86,8.97,2.1,435
2020-03-26T00:00:00.000Z,5.6,16.5,10.42,7.54,12.45,2.81,442
2020-03-27T00:00:00.000Z,9.81,15.85,12.52,11.35,14.4,1.644,369
2020-03-28T00:00:00.000Z,0.46,47.62,4.59,3.01,27.49,15.436,177
2020-03-29T00:00:00.000Z,0.2,2.1,0.65,0.45,0.78,0.353,347
2020-03-30T00:00:00.000Z,0.2,0.6,0.4,0.33,0.45,0.091,137
2020-03-31T00:00:00.000Z,0.4,11.65,1.27,0.65,1.68,1.126,317
2020-04-01T00:00:00.000Z,1.2,5.68,2.46,1.97,3.3,0.852,191
2020-04-02T00:00:00.000Z,1.4,5.58,3.06,2.22,3.81,0.927,416
2020-04-03T00:00:00.000Z,0.92,5.25,2.09,1.7,3.33,0.978,452
2020-04-04T00:00:00.000Z,0.84,16.85,2.33,1.3,3.82,4.1,531
2020-04-05T00:00:00.000Z,0.72,23.98,2.8,2.17,15.25,8.069,536
2020-04-06T00:00:00.000Z,2.5,16.3,8.53,5.53,13.15,4.022,513
2020-04-07T00:00:00.000Z,1.64,26.83,3.47,2.29,14.47,7.722,451
2020-04-08T00:00:00.000Z,1.35,11.16,2.29,2,2.66,1.659,462
